road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
rural,4,0.3,60,night,foggy,False,False,morning,True,True,3,0.73
rural,2,0.76,60,night,foggy,False,False,morning,True,True,0,0.65
urban,3,0.43,25,dim,foggy,True,True,evening,False,True,2,0.19
urban,1,0.56,25,daylight,clear,True,True,evening,False,True,1,0.18
urban,2,0.82,70,dim,rainy,True,True,evening,True,False,0,0.54
highway,4,0.22,35,dim,clear,False,False,evening,True,True,1,0.11
urban,4,0.34,60,daylight,rainy,True,False,afternoon,False,True,2,0.46
highway,4,0.77,45,dim,foggy,True,False,evening,False,False,0,0.29
highway,1,0.57,25,daylight,clear,True,True,evening,False,False,5,0.26
urban,4,0.09,45,daylight,clear,False,True,afternoon,False,False,1,0.02
urban,1,0.43,60,dim,clear,False,False,afternoon,True,True,1,0.23
urban,1,0.59,25,dim,foggy,True,False,morning,False,False,0,0.29
rural,1,0.91,60,daylight,clear,False,False,afternoon,False,True,0,0.38
urban,2,0.19,25,daylight,clear,False,False,afternoon,True,False,2,0.1
rural,1,0.81,60,daylight,foggy,True,True,evening,False,True,1,0.5
highway,3,0.13,45,daylight,rainy,False,False,evening,True,True,0,0.13
rural,4,0.24,35,daylight,clear,False,True,evening,False,True,2,0.06
urban,2,0.24,25,dim,foggy,True,True,evening,False,False,2,0.12
highway,4,0.88,45,night,clear,False,True,afternoon,True,False,1,0.45
highway,1,0.2,60,dim,clear,False,True,evening,True,False,1,0.24
highway,2,0.79,45,night,rainy,False,True,evening,True,True,0,0.56
rural,3,0.46,25,daylight,foggy,False,True,morning,True,False,0,0.12
urban,1,1.0,45,dim,rainy,False,True,afternoon,False,True,3,0.47
highway,4,0.84,60,night,rainy,True,False,afternoon,True,True,3,1.0
highway,3,0.74,70,daylight,foggy,True,False,afternoon,True,True,1,0.54
highway,1,0.87,35,dim,rainy,False,False,morning,True,False,1,0.35
rural,3,0.63,35,night,clear,True,False,afternoon,False,True,1,0.41
rural,1,0.84,70,dim,foggy,True,True,afternoon,True,False,0,0.52
urban,2,0.26,25,night,foggy,True,True,evening,False,True,4,0.55
rural,1,0.1,45,dim,clear,True,True,afternoon,True,True,0,0.06
highway,2,0.62,45,dim,clear,False,True,evening,True,False,3,0.22
urban,1,0.43,70,night,clear,False,False,morning,False,True,1,0.54
highway,1,0.43,70,dim,rainy,False,True,evening,False,True,0,0.42
highway,4,0.53,60,dim,rainy,True,False,morning,False,True,1,0.51
rural,3,0.36,60,daylight,rainy,False,True,morning,True,True,0,0.34
urban,3,0.63,35,night,rainy,True,False,morning,True,False,0,0.47
rural,3,0.03,25,dim,rainy,False,False,evening,True,False,5,0.17
rural,1,0.97,25,night,rainy,False,False,morning,False,True,0,0.52
urban,1,0.92,70,dim,foggy,True,True,evening,False,False,2,0.51
highway,1,0.94,35,night,foggy,False,False,evening,True,False,1,0.56
highway,2,0.37,35,night,foggy,True,False,evening,False,False,2,0.49
urban,2,0.53,60,daylight,foggy,False,True,morning,False,True,3,0.56
highway,4,0.95,45,daylight,foggy,True,True,evening,True,False,4,0.51
urban,1,0.9,25,night,foggy,True,False,evening,True,False,1,0.55
urban,3,0.79,35,dim,rainy,True,True,morning,True,False,3,0.39
rural,3,0.41,60,night,foggy,False,False,evening,True,True,0,0.61
urban,4,0.56,60,dim,clear,False,True,morning,True,True,2,0.36
rural,3,0.79,60,night,foggy,True,False,morning,True,False,2,0.81
highway,4,0.27,45,daylight,clear,True,True,morning,True,False,1,0.12
highway,1,0.63,35,daylight,clear,True,True,evening,True,True,0,0.2
highway,3,0.83,70,dim,foggy,False,False,evening,True,True,1,0.47
highway,1,0.71,70,night,rainy,True,False,afternoon,True,False,3,0.84
rural,2,0.48,60,dim,rainy,False,True,afternoon,False,True,1,0.49
highway,3,0.58,60,daylight,clear,False,True,afternoon,True,False,0,0.35
urban,2,0.99,45,night,rainy,False,False,morning,True,True,2,0.63
urban,3,0.6,60,daylight,clear,True,True,afternoon,True,True,1,0.42
urban,1,0.79,35,daylight,rainy,False,True,evening,False,False,3,0.42
rural,4,0.73,60,night,rainy,True,False,morning,False,True,5,0.8
highway,1,0.7,60,dim,rainy,True,True,morning,True,True,2,0.46
highway,1,0.72,35,night,rainy,False,True,evening,True,True,1,0.56
highway,1,0.45,25,daylight,foggy,False,False,afternoon,True,True,0,0.29
rural,3,0.47,70,daylight,foggy,True,False,afternoon,False,True,4,0.6
urban,4,0.47,60,daylight,foggy,False,True,evening,False,True,0,0.45
urban,2,0.03,35,daylight,clear,False,True,evening,True,True,1,0.01
highway,1,0.24,70,dim,foggy,False,False,afternoon,True,True,0,0.41
urban,3,0.15,45,night,foggy,False,False,evening,True,False,0,0.37
urban,2,0.89,25,night,foggy,True,False,afternoon,False,True,1,0.57
rural,1,0.27,60,dim,rainy,False,False,evening,False,True,0,0.44
rural,2,0.14,25,dim,rainy,False,False,afternoon,False,False,4,0.33
rural,1,0.12,60,daylight,rainy,False,True,evening,True,False,1,0.45
rural,2,0.7,60,night,rainy,False,True,morning,False,False,3,0.76
highway,2,0.01,60,night,rainy,False,True,morning,True,True,2,0.52
rural,4,0.47,25,night,foggy,False,False,morning,False,True,1,0.47
urban,4,0.12,45,dim,foggy,False,False,evening,True,True,0,0.15
highway,1,0.85,35,daylight,rainy,False,False,afternoon,True,False,2,0.44
urban,3,0.96,35,daylight,rainy,False,True,afternoon,True,True,3,0.51
urban,4,0.96,45,night,foggy,True,True,afternoon,True,False,0,0.72
urban,2,0.44,45,daylight,foggy,True,False,morning,False,True,0,0.28
rural,4,0.64,60,dim,rainy,False,True,morning,True,True,1,0.41
rural,4,0.6,60,dim,clear,False,False,afternoon,False,False,2,0.4
highway,1,0.35,35,night,rainy,True,True,evening,False,True,1,0.38
highway,4,0.44,60,daylight,foggy,True,True,evening,False,False,1,0.51
rural,4,0.06,60,dim,clear,False,False,afternoon,False,False,1,0.22
urban,2,0.8,45,dim,rainy,True,False,afternoon,True,True,1,0.3
highway,4,0.24,25,dim,foggy,True,False,evening,True,False,1,0.18
rural,2,0.46,70,dim,foggy,True,False,afternoon,False,False,0,0.42
rural,4,0.48,70,daylight,foggy,True,False,evening,True,True,4,0.49
rural,4,0.56,60,dim,rainy,True,True,evening,True,False,3,0.51
urban,3,0.82,60,dim,rainy,True,True,morning,True,False,3,0.69
rural,4,0.69,70,daylight,clear,True,True,morning,False,True,1,0.39
rural,2,0.66,45,night,foggy,True,False,morning,False,True,1,0.55
rural,2,0.53,70,night,foggy,False,False,afternoon,True,False,3,0.66
rural,1,0.1,70,dim,clear,True,False,evening,True,True,2,0.22
highway,1,0.4,70,night,rainy,False,True,afternoon,True,False,2,0.69
highway,3,0.96,60,daylight,foggy,True,False,afternoon,False,True,1,0.62
rural,2,1.0,60,dim,clear,False,False,afternoon,False,False,2,0.53
urban,2,0.73,70,daylight,foggy,False,True,evening,False,True,1,0.55
highway,2,0.23,60,night,rainy,False,True,morning,False,True,0,0.51
rural,3,0.1,70,night,rainy,False,False,evening,True,False,0,0.56
highway,2,0.41,45,dim,clear,True,True,evening,False,False,4,0.28
highway,1,0.86,60,night,clear,False,True,afternoon,True,False,0,0.61
urban,3,0.72,25,dim,foggy,True,False,afternoon,False,False,0,0.26
rural,1,0.88,60,dim,rainy,False,True,morning,False,False,2,0.61
rural,1,0.62,45,daylight,rainy,True,True,evening,True,True,0,0.3
urban,3,0.13,45,night,clear,False,False,morning,True,False,1,0.19
urban,4,0.11,60,night,clear,True,True,afternoon,False,False,1,0.53
rural,4,0.05,35,dim,foggy,True,True,afternoon,False,True,0,0.09
rural,1,0.57,70,dim,rainy,False,True,morning,True,True,2,0.51
urban,4,0.24,70,dim,foggy,True,False,morning,False,False,1,0.28
highway,2,0.73,45,dim,foggy,True,False,evening,False,False,3,0.43
highway,3,0.69,60,daylight,clear,False,True,morning,False,False,1,0.38
urban,1,0.32,35,night,rainy,True,False,morning,True,False,2,0.43
highway,2,0.18,25,daylight,clear,False,True,evening,False,False,2,0.12
urban,4,0.1,70,night,foggy,False,True,afternoon,True,False,1,0.59
highway,2,0.74,35,daylight,foggy,True,False,evening,False,False,2,0.32
highway,4,0.45,70,dim,rainy,False,False,afternoon,False,False,1,0.47
rural,1,0.32,60,daylight,rainy,False,False,afternoon,False,True,0,0.52
rural,2,0.86,70,daylight,rainy,True,False,morning,True,True,1,0.55
highway,3,0.59,25,dim,rainy,True,True,morning,True,False,4,0.37
highway,1,0.52,60,dim,clear,True,True,morning,True,False,1,0.3
rural,2,0.74,45,night,clear,False,True,morning,True,True,0,0.44
rural,2,0.82,35,night,clear,False,False,morning,False,True,3,0.52
rural,4,0.69,70,daylight,clear,True,False,afternoon,True,False,3,0.47
urban,1,0.44,60,daylight,foggy,True,False,evening,False,False,1,0.34
highway,1,0.38,60,daylight,clear,True,False,morning,True,True,1,0.27
rural,1,0.77,70,dim,clear,True,True,afternoon,False,True,1,0.39
highway,1,0.52,45,night,rainy,True,True,morning,False,False,2,0.52
urban,4,0.7,70,daylight,foggy,True,False,evening,False,True,0,0.5
urban,3,0.89,45,night,clear,True,False,afternoon,True,True,1,0.42
rural,1,0.92,70,night,foggy,True,True,evening,False,True,2,0.86
urban,4,0.28,60,dim,foggy,True,False,morning,True,True,1,0.42
highway,3,0.19,25,dim,foggy,True,False,afternoon,True,False,3,0.21
rural,3,0.26,25,daylight,foggy,False,True,evening,False,False,3,0.3
highway,4,0.75,60,daylight,rainy,False,True,morning,True,True,1,0.59
highway,1,0.37,25,daylight,rainy,False,True,morning,True,False,1,0.18
urban,3,0.17,45,daylight,foggy,True,False,afternoon,False,True,2,0.16
urban,1,0.1,60,daylight,foggy,True,False,morning,True,False,1,0.24
urban,1,0.33,45,night,foggy,False,False,evening,True,False,2,0.43
urban,2,0.14,60,night,rainy,False,False,morning,True,False,3,0.74
urban,1,0.16,45,dim,rainy,False,False,evening,False,True,2,0.21
rural,2,0.68,45,dim,foggy,True,True,evening,True,True,5,0.4
highway,3,0.02,25,night,foggy,True,True,evening,False,True,1,0.27
highway,4,0.12,60,dim,foggy,False,True,evening,False,False,2,0.35
highway,2,0.84,70,dim,foggy,True,True,afternoon,True,False,0,0.63
highway,4,0.84,25,daylight,rainy,False,False,evening,False,False,1,0.34
urban,3,0.33,45,dim,clear,False,True,afternoon,False,False,2,0.1
highway,1,0.09,45,dim,clear,False,True,afternoon,True,False,1,0.0
rural,3,0.7,70,dim,rainy,True,True,afternoon,True,False,3,0.58
rural,4,0.36,70,night,rainy,False,True,morning,True,True,4,0.69
highway,3,0.05,45,night,clear,True,False,evening,False,False,3,0.3
highway,1,0.16,70,daylight,clear,False,False,morning,True,False,1,0.21
rural,3,0.14,35,dim,clear,False,True,evening,True,True,3,0.11
rural,1,0.59,25,night,foggy,True,False,afternoon,False,True,3,0.64
urban,2,0.9,60,daylight,clear,True,True,morning,True,False,0,0.5
rural,4,0.79,70,dim,clear,False,True,morning,True,False,1,0.48
urban,1,0.55,70,daylight,foggy,True,True,afternoon,True,True,1,0.5
urban,1,0.42,35,daylight,foggy,False,False,afternoon,False,True,1,0.27
urban,3,0.62,60,dim,rainy,False,True,afternoon,True,True,3,0.63
urban,2,0.44,35,night,foggy,True,False,morning,False,True,1,0.51
urban,1,0.25,60,dim,clear,False,False,afternoon,False,False,1,0.38
highway,2,0.68,25,dim,foggy,False,False,morning,True,True,3,0.42
rural,2,0.87,70,dim,rainy,False,False,evening,True,False,1,0.62
urban,3,0.37,25,night,clear,False,True,afternoon,True,False,1,0.23
rural,1,0.84,60,dim,rainy,False,False,morning,True,False,1,0.55
rural,3,0.43,70,night,rainy,False,True,afternoon,False,True,3,0.78
urban,4,0.4,35,daylight,rainy,False,True,afternoon,True,False,0,0.12
highway,4,0.03,45,night,foggy,True,False,morning,False,True,2,0.38
urban,1,0.7,35,daylight,foggy,True,True,morning,True,False,1,0.23
highway,2,0.81,45,daylight,rainy,False,True,morning,True,True,1,0.43
rural,1,0.66,35,dim,rainy,False,False,afternoon,False,True,2,0.4
highway,1,0.15,60,night,rainy,True,False,evening,False,False,2,0.45
highway,4,0.1,25,daylight,rainy,False,False,evening,False,False,0,0.16
highway,4,0.57,45,daylight,foggy,True,False,afternoon,True,True,3,0.38
rural,2,0.4,60,night,foggy,True,True,afternoon,True,False,0,0.68
rural,2,0.43,25,night,rainy,True,True,morning,True,True,1,0.43
highway,1,0.97,25,daylight,foggy,False,False,evening,False,False,0,0.39
highway,3,0.72,70,daylight,clear,False,False,evening,False,True,1,0.46
urban,1,0.41,70,night,foggy,True,True,evening,False,False,2,0.68
highway,2,0.02,70,night,rainy,True,True,morning,False,True,2,0.43
urban,3,0.03,45,daylight,foggy,False,False,evening,True,False,0,0.16
highway,4,0.68,45,dim,clear,False,False,morning,False,True,1,0.24
urban,2,0.84,25,night,clear,True,False,afternoon,True,True,3,0.54
rural,2,0.71,45,daylight,foggy,True,False,morning,False,True,3,0.34
highway,3,0.41,25,daylight,clear,True,False,afternoon,True,False,5,0.2
highway,2,0.03,60,dim,clear,False,False,evening,True,False,2,0.23
highway,2,0.97,35,night,foggy,False,False,afternoon,True,True,2,0.49
highway,2,0.99,25,daylight,foggy,True,True,afternoon,True,False,2,0.44
urban,2,0.55,25,dim,foggy,False,True,afternoon,True,False,0,0.25
highway,2,0.07,60,night,rainy,False,True,morning,True,False,1,0.62
rural,2,0.54,70,dim,rainy,True,True,morning,True,True,2,0.48
rural,2,0.89,70,daylight,clear,False,True,morning,False,True,2,0.4
highway,2,0.68,70,dim,clear,False,True,afternoon,False,True,1,0.45
rural,4,0.72,25,daylight,foggy,True,False,afternoon,False,False,1,0.33
highway,2,0.08,25,daylight,clear,True,False,afternoon,False,False,4,0.12
highway,4,0.11,45,dim,foggy,False,False,evening,False,False,1,0.23
rural,4,0.13,45,dim,rainy,False,False,morning,False,False,1,0.09
highway,1,0.9,35,daylight,foggy,True,False,evening,True,True,3,0.53
rural,1,0.53,35,dim,clear,False,True,evening,True,False,3,0.26
urban,4,0.79,45,night,foggy,True,True,evening,True,False,1,0.56
highway,4,0.12,25,night,foggy,True,True,afternoon,True,True,0,0.39
urban,2,0.93,60,dim,foggy,True,True,morning,False,False,2,0.5
rural,1,0.82,45,dim,clear,False,True,evening,False,False,0,0.26
urban,3,0.22,25,night,foggy,True,True,morning,True,False,2,0.38
urban,1,0.87,45,daylight,foggy,False,True,morning,False,True,6,0.45
rural,4,0.26,70,daylight,clear,True,True,afternoon,False,False,4,0.34
urban,4,0.21,45,night,rainy,True,False,evening,False,True,1,0.38
urban,2,0.26,70,daylight,rainy,False,True,afternoon,True,False,2,0.42
rural,2,0.91,25,dim,clear,True,False,morning,True,True,1,0.35
urban,1,0.92,70,dim,rainy,True,False,evening,False,True,2,0.63
rural,2,0.33,45,night,foggy,False,False,morning,False,True,3,0.49
urban,3,0.71,70,night,clear,False,True,morning,False,True,3,0.77
rural,3,0.68,60,night,foggy,True,True,afternoon,True,False,0,0.68
rural,2,0.81,70,night,foggy,True,True,evening,False,True,4,0.76
urban,3,0.3,70,daylight,clear,False,True,afternoon,False,False,0,0.36
urban,3,0.51,35,daylight,foggy,True,True,afternoon,True,True,1,0.19
urban,1,0.67,60,daylight,clear,True,True,morning,False,True,1,0.36
highway,3,0.03,25,dim,foggy,True,False,evening,True,True,0,0.11
highway,4,0.38,70,dim,rainy,False,True,evening,True,False,2,0.41
highway,4,0.7,60,night,foggy,False,True,evening,True,True,1,0.61
rural,1,0.25,25,night,foggy,False,True,afternoon,False,True,0,0.35
urban,2,0.96,60,daylight,clear,False,True,afternoon,False,True,0,0.53
rural,1,0.03,35,daylight,rainy,True,True,afternoon,False,False,1,0.13
highway,2,0.96,25,daylight,foggy,False,True,morning,True,False,0,0.42
urban,2,0.22,25,night,foggy,False,False,afternoon,False,True,3,0.36
rural,2,0.05,70,daylight,rainy,False,True,evening,False,True,0,0.24
urban,2,0.29,45,night,rainy,False,True,morning,True,False,2,0.42
rural,2,0.79,25,night,rainy,True,True,evening,True,True,1,0.64
urban,1,0.75,25,dim,rainy,False,False,afternoon,False,True,4,0.42
highway,2,0.21,35,dim,rainy,False,False,evening,True,False,1,0.17
highway,3,0.2,35,night,foggy,True,False,morning,False,True,4,0.47
urban,3,0.64,35,daylight,rainy,True,False,afternoon,False,False,4,0.44
rural,2,0.46,70,night,rainy,False,True,morning,False,True,1,0.59
